  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 200  12.97%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   8.500   1.1388   0.01467   0.00801  -0.0563   0.0306   0.8266
   8.750   1.1548   0.01515   0.00847  -0.0544   0.0247   0.8309
   9.000   1.1712   0.01561   0.00895  -0.0528   0.0203   0.8356
   9.250   1.1869   0.01611   0.00946  -0.0510   0.0168   0.8408
   9.500   1.2039   0.01655   0.00993  -0.0495   0.0151   0.8460
   9.750   1.2193   0.01706   0.01050  -0.0478   0.0130   0.8524
  10.250   1.2500   0.01811   0.01164  -0.0445   0.0098   0.8677
  10.500   1.2641   0.01870   0.01228  -0.0427   0.0084   0.8768
  11.000   1.2905   0.01990   0.01363  -0.0390   0.0061   0.9038
  11.250   1.2999   0.02050   0.01434  -0.0365   0.0053   0.9390
  11.500   1.3156   0.02123   0.01516  -0.0356   0.0042   1.0000
  11.750   1.3289   0.02206   0.01603  -0.0342   0.0036   1.0000
  12.000   1.3412   0.02298   0.01700  -0.0327   0.0028   1.0000
  12.250   1.3516   0.02405   0.01811  -0.0312   0.0019   1.0000
  12.500   1.3641   0.02499   0.01910  -0.0299   0.0019   1.0000
  12.750   1.3749   0.02606   0.02023  -0.0286   0.0015   1.0000
  13.000   1.3857   0.02717   0.02140  -0.0273   0.0014   1.0000
  13.250   1.3936   0.02852   0.02282  -0.0259   0.0010   1.0000
  13.500   1.4028   0.02981   0.02418  -0.0246   0.0009   1.0000
  13.750   1.4117   0.03114   0.02559  -0.0235   0.0009   1.0000
  14.000   1.4193   0.03261   0.02713  -0.0224   0.0008   1.0000
  14.250   1.4260   0.03420   0.02882  -0.0213   0.0007   1.0000
  14.500   1.4292   0.03616   0.03086  -0.0201   0.0005   1.0000
  14.750   1.4378   0.03764   0.03242  -0.0193   0.0006   1.0000
  15.000   1.4389   0.03990   0.03479  -0.0183   0.0005   1.0000
  15.250   1.4428   0.04196   0.03694  -0.0176   0.0005   1.0000
  15.500   1.4441   0.04435   0.03943  -0.0170   0.0005   1.0000
  15.750   1.4410   0.04732   0.04254  -0.0165   0.0004   1.0000
  16.000   1.4438   0.04975   0.04506  -0.0163   0.0004   1.0000
  16.250   1.4380   0.05333   0.04878  -0.0162   0.0004   1.0000
  16.500   1.4363   0.05654   0.05209  -0.0165   0.0004   1.0000
  16.750   1.4330   0.06012   0.05579  -0.0170   0.0004   1.0000
  17.000   1.4274   0.06420   0.06000  -0.0179   0.0004   1.0000
  17.250   1.4219   0.06844   0.06436  -0.0191   0.0004   1.0000
  17.500   1.4126   0.07345   0.06951  -0.0208   0.0004   1.0000
  17.750   1.4033   0.07871   0.07492  -0.0229   0.0004   1.0000
  18.000   1.3912   0.08469   0.08103  -0.0255   0.0004   1.0000
  18.250   1.3774   0.09118   0.08767  -0.0286   0.0004   1.0000
  18.500   1.3612   0.09839   0.09503  -0.0322   0.0004   1.0000
  18.750   1.3429   0.10627   0.10306  -0.0364   0.0004   1.0000
  19.000   1.3214   0.11502   0.11198  -0.0412   0.0004   1.0000
  19.250   1.3008   0.12382   0.12092  -0.0462   0.0004   1.0000
