  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   0.250   0.0276   0.00739   0.00148   0.0001   0.4681   0.5035
   0.500   0.0551   0.00740   0.00149   0.0003   0.4508   0.5211
   0.750   0.0828   0.00741   0.00150   0.0004   0.4344   0.5389
   1.000   0.1104   0.00743   0.00153   0.0005   0.4177   0.5565
   1.250   0.1379   0.00746   0.00156   0.0006   0.4007   0.5747
   1.500   0.1652   0.00750   0.00160   0.0008   0.3823   0.5935
   1.750   0.1925   0.00756   0.00164   0.0010   0.3637   0.6118
   2.250   0.2470   0.00769   0.00176   0.0013   0.3271   0.6483
   2.500   0.2742   0.00777   0.00183   0.0015   0.3096   0.6667
   2.750   0.3014   0.00783   0.00191   0.0017   0.2941   0.6853
   3.000   0.3287   0.00791   0.00199   0.0019   0.2790   0.7035
   3.250   0.3557   0.00800   0.00208   0.0021   0.2636   0.7221
   3.500   0.3827   0.00809   0.00218   0.0024   0.2489   0.7406
   3.750   0.4095   0.00820   0.00229   0.0026   0.2338   0.7592
   4.000   0.4362   0.00832   0.00241   0.0029   0.2189   0.7778
   4.250   0.4626   0.00847   0.00255   0.0033   0.2024   0.7959
   4.500   0.4886   0.00865   0.00270   0.0037   0.1827   0.8134
   4.750   0.5144   0.00886   0.00287   0.0041   0.1641   0.8304
   5.000   0.5407   0.00902   0.00303   0.0045   0.1517   0.8465
   5.250   0.5669   0.00918   0.00320   0.0049   0.1406   0.8619
   5.500   0.5928   0.00938   0.00339   0.0053   0.1291   0.8765
   5.750   0.6186   0.00959   0.00358   0.0058   0.1185   0.8904
   6.000   0.6446   0.00979   0.00377   0.0062   0.1101   0.9038
   6.250   0.6703   0.00999   0.00397   0.0067   0.1028   0.9161
   6.500   0.6959   0.01022   0.00419   0.0072   0.0952   0.9271
   6.750   0.7218   0.01043   0.00439   0.0076   0.0894   0.9378
   7.000   0.7479   0.01069   0.00464   0.0080   0.0829   0.9468
   7.250   0.7739   0.01094   0.00487   0.0083   0.0768   0.9553
   7.500   0.8014   0.01121   0.00512   0.0083   0.0711   0.9625
   7.750   0.8279   0.01152   0.00539   0.0085   0.0654   0.9694
   8.000   0.8576   0.01180   0.00566   0.0080   0.0606   0.9743
   8.250   0.8848   0.01211   0.00594   0.0080   0.0562   0.9803
   8.500   0.9150   0.01245   0.00625   0.0073   0.0519   0.9837
   8.750   0.9455   0.01277   0.00657   0.0065   0.0485   0.9868
   9.000   0.9751   0.01314   0.00691   0.0059   0.0454   0.9901
   9.250   1.0042   0.01347   0.00724   0.0054   0.0430   0.9930
   9.500   1.0356   0.01385   0.00761   0.0043   0.0405   0.9945
   9.750   1.0661   0.01424   0.00799   0.0034   0.0387   0.9963
  10.000   1.0963   0.01460   0.00836   0.0026   0.0375   0.9983
  10.250   1.1258   0.01499   0.00876   0.0019   0.0363   1.0000
  10.500   1.1416   0.01531   0.00909   0.0041   0.0354   1.0000
  10.750   1.1575   0.01567   0.00946   0.0062   0.0345   1.0000
  11.000   1.1738   0.01603   0.00983   0.0082   0.0338   1.0000
  11.250   1.1913   0.01636   0.01019   0.0099   0.0333   1.0000
  11.500   1.2091   0.01673   0.01058   0.0116   0.0326   1.0000
  11.750   1.2269   0.01713   0.01101   0.0131   0.0320   1.0000
  12.000   1.2442   0.01756   0.01146   0.0147   0.0314   1.0000
  12.250   1.2593   0.01802   0.01194   0.0167   0.0309   1.0000
  12.500   1.2735   0.01852   0.01248   0.0187   0.0304   1.0000
  12.750   1.2871   0.01911   0.01309   0.0207   0.0298   1.0000
  13.000   1.3017   0.01970   0.01372   0.0224   0.0294   1.0000
  13.250   1.3172   0.02027   0.01433   0.0239   0.0291   1.0000
  13.500   1.3320   0.02090   0.01501   0.0253   0.0287   1.0000
  13.750   1.3463   0.02159   0.01575   0.0267   0.0284   1.0000
  14.000   1.3601   0.02234   0.01655   0.0280   0.0279   1.0000
  14.250   1.3732   0.02318   0.01743   0.0293   0.0275   1.0000
  14.500   1.3853   0.02412   0.01842   0.0305   0.0271   1.0000
  14.750   1.3965   0.02517   0.01951   0.0316   0.0268   1.0000
  15.000   1.4066   0.02635   0.02075   0.0327   0.0264   1.0000
  15.250   1.4150   0.02773   0.02217   0.0336   0.0260   1.0000
  15.500   1.4212   0.02937   0.02387   0.0344   0.0256   1.0000
  15.750   1.4301   0.03086   0.02544   0.0349   0.0254   1.0000
  16.000   1.4382   0.03248   0.02713   0.0353   0.0252   1.0000
  16.250   1.4453   0.03428   0.02900   0.0355   0.0249   1.0000
  16.500   1.4516   0.03623   0.03103   0.0356   0.0247   1.0000
  16.750   1.4562   0.03842   0.03330   0.0355   0.0244   1.0000
  17.000   1.4596   0.04081   0.03577   0.0352   0.0241   1.0000
  17.250   1.4613   0.04348   0.03852   0.0347   0.0238   1.0000
  17.500   1.4609   0.04646   0.04158   0.0340   0.0236   1.0000
  17.750   1.4585   0.04975   0.04496   0.0331   0.0234   1.0000
  18.000   1.4542   0.05339   0.04870   0.0319   0.0231   1.0000
  18.250   1.4479   0.05738   0.05278   0.0306   0.0229   1.0000
  18.500   1.4391   0.06177   0.05726   0.0289   0.0228   1.0000
  18.750   1.4277   0.06664   0.06224   0.0270   0.0226   1.0000
  19.000   1.4138   0.07193   0.06764   0.0249   0.0224   1.0000
  19.250   1.3972   0.07771   0.07353   0.0224   0.0222   1.0000
